descricao,fonte_formula,unidade_de_medida,meta,,,,,,,,,,,,,
Consultas não médicas,Quantidade total de atendimentos,PERCENTUAL,,,,,,,,,,,,,,
Pacientes em leito de acolhimento noturno 24h,Quantidade,PERCENTUAL,,,,,,,,,,,,,,
Moradores por SRT,Quantidade,ABSOLUTO,,,,,,,,,,,,,,
Atendimento- Serviço Residencial Terapêutico,Quantidade de acompanhamentos aos SRT,ABSOLUTO,,,,,,,,,,,,,,
Dispensação de Medicamentos – TOTAL,Quantidade,ABSOLUTO,,,,,,,,,,,,,,
Atendimentos Individuais em Psicoterapia,Quantidade de terapia individual com psicologo,ABSOLUTO,,,,,,,,,,,,,,
Atividades Educativas em Grupo,Quantidade de atendimentos coletivos,ABSOLUTO,,,,,,,,,,,,,,
Desfechos,"Melhorada, evasão e encaminhamentos",ABSOLUTO,,,,,,,,,,,,,,
Planos Terapêuticos Singulares,Qunatidade de planos terapeuticos singulares,ABSOLUTO,,,,,,,,,,,,,,
Índice de Satisfação do Usuário,Total de avaliações classificadas como bom e/ou ótimo / total pesquisas realizadas,PERCENTUAL,,,,,,,,,,,,,,
Taxa de Adesão aos Treinamentos,Total de Profissionais que participaram dos treinamentos / N° total de profissionais convidados para o treinamento x 100,PERCENTUAL,,,,,,,,,,,,,,
Taxa de Acidente de Trabalho,"Nº de acidentes de trabalho / nº de funcionários ativos no cadastro do
hospital X 100",PERCENTUAL,,,,,,,,,,,,,,
Taxa de Prevenção de Incidentes/Eventos Adversos Global,Total geral de incidentes/eventos adversos / total de pacientes dia X 100-100,PERCENTUAL,,,,,,,,,,,,,,
Incidência de não conformidade relacionada à administração de medicamentos,Nº de não conformidades relacionadas a administração de medicamentos / nº de pacientes-dia X 100,ABSOLUTO,,,,,,,,,,,,,,
Incidência de Prescrição Errada,N° de prescrições erradas identificadas / total de paciente dia X 100,ABSOLUTO,,,,,,,,,,,,,,
Incidência de Queda,Nº de quedas / nº de pacientes-dia X 1.000,ABSOLUTO,,,,,,,,,,,,,,
Total de Absenteísmo de Consultas Médicas,Quantidade,ABSOLUTO,,,,,,,,,,,,,,
Faturamento,Quantidade,FINANCEIRO,,,,,,,,,,,,,,
Taxa de Profissionais Treinados do Administrativo e Apoio,Taxa Geral de Profissionais Treinados,TAXA,,,,,,,,,,,,,,TAXA
Taxa de Profissionais Treinados da Enfermagem,Taxa Geral de Profissionais Treinados,TAXA,,,,,,,,,,,,,,
Taxa de Profissionais Treinados da Fisioterapia,Taxa Geral de Profissionais Treinados,TAXA,,,,,,,,,,,,,,
Taxa de Profissionais Treinados da Fonoaudiologia,Taxa Geral de Profissionais Treinados,TAXA,,,,,,,,,,,,,,
Taxa de Profissionais Treinados da Farmácia,Taxa Geral de Profissionais Treinados,TAXA,,,,,,,,,,,,,,
Taxa de Profissionais Treinados do Serviço Social,Taxa Geral de Profissionais Treinados,TAXA,,,,,,,,,,,,,,
Taxa de Profissionais Treinados da Medicina,Taxa Geral de Profissionais Treinados,TAXA,,,,,,,,,,,,,,
Taxa de Profissionais Treinados de Outros Setores,Taxa Geral de Profissionais Treinados,TAXA,,,,,,,,,,,,,,
