descricao,fonte_formula,unidade_de_medida,meta
Total de ocorrências atendida - Moto,Nº Total de atendimentos em Moto,PERCENTUAL,80.0
Total de ocorrências atendida – USA,Nº Total de atendimentos USA,ABSOLUTO,
Total de ocorrências atendida – Básica,Nº Total de atendimentos Básica,ABSOLUTO,
Tempo médio de resposta,Tempo Médio (em min),TEMPO_HORAS,
Media do tempo máximo de resposta,Media do Tempo Máximo (em min),TEMPO_HORAS,
Media do tempo mínimo de resposta,Media do Tempo Minimo (em min),TEMPO_HORAS,
Número de chamados por telemedicina,Nº total de chamados com atendimento em telemedicna,ABSOLUTO,
Chamadas de Regulação/Solicitação de transferência,Quantidade de chamadas de regulação/solicitação de transferência,ABSOLUTO,
Chamadas de emergência,Quantidade de chamadas de emergência,ABSOLUTO,
Chamadas de Regulação/Solicitação de transferência,Quantidade de chamadas de regulação/solicitação de transferência,ABSOLUTO,
Chamadas de Informação,Quantidade de chamadas de informação,ABSOLUTO,
Chamadas de Engano,Quantidade de chamadas de engano,ABSOLUTO,
Chamadas de Trote,Quantidade de chamadas de trote,ABSOLUTO,
Ocorrências em Via Pública,Quantidade de ocorrências em via pública,ABSOLUTO,
Ocorrências em Residencia,Quantidade de ocorrências em residencia,ABSOLUTO,
Ocorrências em Unidades de saúde pública,Quantidade de ocorrências em unidades de saúde pública,ABSOLUTO,
Ocorrências em Unidades de saúde privadas,Quantidade de ocorrências em unidades de saúde privadas,ABSOLUTO,
Ocorrências em Escolas,Quantidade de ocorrências em escolas,ABSOLUTO,
Ocorrências em Empresas,Quantidade de ocorrências em empresas,ABSOLUTO,
Ocorrências em Outros Locais,Quantidade de ocorrências em outros locais,ABSOLUTO,
Pacientes com AVC Regulados,Quantidade de pacientes com dor torácica regulados,ABSOLUTO,
pacientes com dor torácica regulados,Quantidade de pacientes com AVC regulados,ABSOLUTO,
pacientes trombolisados nos hospitais de pequeno porte,Quantidade de pacientes trombolisados nos hospitais de pequeno porte,ABSOLUTO,
pacientes regulados para angioplastia primária do Protocolo de Dor torácica,Quantidade de pacientes regulados para angioplastia primária do Protocolo de Dor torácica,ABSOLUTO,
pacientes psiquiátricos regulados,Quantidade de pacientes psiquiátricos regulados,ABSOLUTO,
